id,name,nick_name,wins,losses,draws,height,weight,reach,stance,dob,splm,str_acc,sapm,str_def,td_avg,td_avg_acc,td_def,sub_avg
231926533134ec1f,Justin Buchholz,,15,10,0,182.88,70.31,185.42,Orthodox,"Aug 22, 1983",2.35,26,4.14,51,0.0,0,33,0.8
f782f953bfe7b5f2,Jonathan Micallef,The Captain,8,1,0,182.88,77.11,195.58,Southpaw,"Mar 05, 1999",4.77,43,4.0,58,0.83,50,50,0.8
2e04a3b4a2011b97,Roland Payne,,0,1,0,175.26,92.99,,Orthodox,,0.0,0,0.0,0,0.0,0,0,0.0
29f935654825331b,Chris Sanford,,5,1,0,180.34,83.91,,Orthodox,"Mar 12, 1968",0.23,50,3.22,17,0.0,0,0,3.5
15df64c02b6b0fde,Danny Abbadi,The Assassin,4,6,0,180.34,70.31,,Orthodox,"Jul 03, 1983",3.29,38,4.41,57,0.0,0,77,0.0
10f3ba6cd2f44a97,Dominick Cruz,The Dominator,24,4,0,172.72,61.23,172.72,Orthodox,"Mar 09, 1985",3.91,33,2.61,70,2.82,42,83,0.1
15ea371202eb25e1,Roberto Romero,El Charro Negro,8,5,1,172.72,65.77,177.8,Orthodox,"Jan 30, 2000",4.56,49,6.44,44,0.0,0,71,0.0
f57a8a52ca401ed9,Nick Diaz,,26,10,0,185.42,77.11,193.04,Southpaw,"Aug 02, 1983",5.71,42,3.84,59,1.28,32,60,1.0
bf0e700106d00e55,Austin Arnett,,16,6,0,182.88,65.77,182.88,Orthodox,"Oct 22, 1991",4.52,41,6.38,62,0.44,18,57,0.2
d4691518d012b9e7,Aspen Ladd,,9,3,0,167.64,61.23,167.64,Orthodox,"Mar 01, 1995",3.78,47,4.65,47,1.56,47,62,0.6
ddf3e0ea10ea6d8c,Jorge de Oliveira,Blade,9,2,0,172.72,70.31,,Orthodox,"Jan 22, 1980",1.26,31,4.84,48,0.0,0,22,0.0
36b8f265bcd1b7a4,Abus Magomedov,,28,6,1,187.96,83.91,198.12,Orthodox,"Sep 02, 1990",3.21,48,3.68,56,2.65,57,100,0.2
d35c3ed553b71fa2,Joe Vedepo,The Doctor,18,9,0,182.88,83.91,,Orthodox,,1.43,42,5.71,38,1.07,20,0,0.0
04835018f90b118c,Casey O'Neill,King,10,2,0,167.64,56.7,175.26,Orthodox,"Oct 07, 1997",7.89,52,5.65,57,1.45,34,70,0.7
4148802ae4a50768,Daniel Zellhuber,Golden Boy,15,3,0,185.42,70.31,195.58,Switch,"Jul 07, 1999",5.83,39,5.91,56,0.15,25,94,0.1
6eaec40f724852f4,Jessin Ayari,,16,6,0,182.88,70.31,185.42,Orthodox,"May 31, 1992",3.53,37,3.59,58,0.0,0,50,0.3
da97d6c97d09c030,Charles McCarthy,Chainsaw,10,5,0,177.8,83.91,180.34,Orthodox,"Aug 06, 1980",0.18,12,4.03,56,2.67,60,0,2.7
cffb87059e645bd1,Denise Gomes,Dee,11,3,0,157.48,52.16,160.02,Orthodox,"Dec 30, 1999",4.59,50,3.04,51,1.19,36,67,0.8
9abc648e76c4493a,Bill Algeo,Senor Perfecto,18,9,0,182.88,65.77,185.42,Switch,"Jun 09, 1989",5.88,51,4.38,47,1.03,50,55,0.1
